Name,Tm,smiles,Cation,Anion,reference
tricyclohexyl(2-propen-1-yl)phosphonium bis(trifluoromethanesulfonyl)imide,384.15,"C=CC[P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F",C=CC[P+](C1CCCCC1)(C1CCCCC1)C1CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Z. Dai et al., Melting points of ionic liquids: Review and evaluation, Green Energy and Environment"
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,271.0,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
"1,3-dimethylimidazolium (heptafluoro-n-propyl) trifluoroborate",284.0,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,Cn1cc[n+](C)c1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
3-[2-(4-chlorophenyl)-2-oxoethyl]-1-methylimidazolium bromide,421.65,Cn1cc[n+](CC(=O)c2ccc(Cl)cc2)c1.[Br-],Cn1cc[n+](CC(=O)c2ccc(Cl)cc2)c1,[Br-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
"1-heptanaminium, N-heptyl-N,N-dihexyl- perchlorate",378.15,CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCCC.[O-][Cl+3]([O-])([O-])[O-],CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCCC,[O-][Cl+3]([O-])([O-])[O-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
Dimethyldi(4-methylbenzyl)ammonium tetrafluoroborate,478.7862513,Cc1ccc(C[N+](C)(C)Cc2ccc(C)cc2)cc1.F[B-](F)(F)F,Cc1ccc(C[N+](C)(C)Cc2ccc(C)cc2)cc1,F[B-](F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-ethyl-3-methylimidazolium octyl sulfate,283.0,CCn1cc[n+](C)c1.CCCCCCCCOS(=O)(=O)[O-],CCn1cc[n+](C)c1,CCCCCCCCOS(=O)(=O)[O-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-Hexadecyl-3-methylimidazolium trifluoromethanesulfonate,331.2443439,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,CCCCCCCCCCCCCCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
"tributyl(methoxymethyl)phosphonium 1,2,3-triazolide",280.0,CCCC[P+](CCCC)(CCCC)COC.[c-]1c[nH]nn1,CCCC[P+](CCCC)(CCCC)COC,[c-]1c[nH]nn1,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-Methylimidazolium chloride,345.2423343,Cn1cc[nH+]c1.[Cl-],Cn1cc[nH+]c1,[Cl-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
