"T","P",SMILES,co2,Cation,Anion
333.3,1715.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.199,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.2,760.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.226,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
293.15,3000.0,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,0.355,CCCC[n+]1ccn(C)c1,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-]
323.1,1000.0,CC(=O)[O-].CC[n+]1ccn(C)c1,0.2236,CC[n+]1ccn(C)c1,CC(=O)[O-]
373.2,4180.0,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,0.203,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)C(F)F
333.15,86000.0,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,0.723,CCCCCC[n+]1ccn(C)c1,N#C[N-]C#N
343.2,1470.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.246,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
303.85,2150.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.4162,CCCCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
298.2,2144.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.351,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
333.15,3471.0,CC[N+](C)(C)CCOCCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.417,CC[N+](C)(C)CCOCCOC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,700.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.128,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,2908.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3919,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.0,1250.0,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,0.208,CCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
303.15,4060.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.657,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
368.15,10920.0,CCCC[n+]1ccn(C)c1.[Cl-],0.2652,CCCC[n+]1ccn(C)c1,[Cl-]
323.15,14380.0,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],0.453,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-]
353.15,926.2,C[n+]1ccn(CCO)c1.F[P-](F)(F)(F)(F)F,0.055,C[n+]1ccn(CCO)c1,F[P-](F)(F)(F)(F)F
298.15,9.91,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0024,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
293.1,4000.0,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.586,CC[n+]1ccn(C)c1,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-]
303.93,1884.0,CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.3997,CC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
361.93,12300.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5852,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
293.43,979.0,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,0.225,CCCC[n+]1ccn(C)c1,O=C([O-])C(F)(F)F
363.15,16700.0,CCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,0.549,CCCCCC[n+]1ccn(C)c1,N#C[N-]C#N
343.15,6950.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.521,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
363.27,3690.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.203,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
322.15,5630.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,2.52,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
322.95,1850.0,CCCCN1C=C[NH+](CCCC)C1.CS(=O)(=O)[O-],0.1389,CCCCN1C=C[NH+](CCCC)C1,CS(=O)(=O)[O-]
313.2,11100.0,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.F[B-](F)(F)F,0.884,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC,F[B-](F)(F)F
303.33,5500.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],0.646,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,[Br-]
353.15,9400.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCCCCOS(=O)(=O)c1ccccc1,0.7134,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCCCCCCCCOS(=O)(=O)c1ccccc1
298.15,2340.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.445,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.0,1380.0,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,0.196,CCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
323.13,28960.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.771,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.26,781.0,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.151,CCCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,2430.0,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],0.246,CCCCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-]
308.15,8000.0,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.5762,CC[n+]1ccn(C)c1,F[B-](F)(F)F
343.15,1199.6,CCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.154,CCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
318.0,495.7,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0759,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.2,1850.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.388,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
313.15,4420.0,C[NH+](CCO)CCO.[Cl-],0.8924,C[NH+](CCO)CCO,[Cl-]
333.15,5950.0,CC(=O)[O-].CC[n+]1ccn(C)c1,0.503,CC[n+]1ccn(C)c1,CC(=O)[O-]
323.4,15700.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.839,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,1200.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.252,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,19.8,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0037,CCCC[N+](C)(CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.0,790.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.464,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
313.3,1274.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.137,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
333.15,5590.0,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5699,CCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
338.15,4000.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.435,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
299.4,3840.0,CN1C=C[NH+](CCO)C1.O=C([O-])C(F)(F)F,0.5,CN1C=C[NH+](CCO)C1,O=C([O-])C(F)(F)F
318.0,12.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.0,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
343.15,199.9,CCC[N+](C)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,0.024,CCC[N+](C)(CC)CC,O=S(=O)(F)[N-]S(=O)(=O)F
353.01,1120.0,CCCC[n+]1ccc(C)cc1.N#C[C-](C#N)C#N,0.169,CCCC[n+]1ccc(C)cc1,N#C[C-](C#N)C#N
333.15,506.0,COCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0765,COCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.2,5150.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,0.511,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)C(F)F
353.15,6520.0,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1,0.302,CCn1cc[n+](C)c1,CCOP(=O)([O-])OCC
313.28,5020.0,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,0.463,CCCC[n+]1ccn(C)c1,O=C([O-])C(F)(F)F
298.15,1052.3,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.213,COC[N+]1(C)CCCC1,O=S(=O)(F)[N-]S(=O)(=O)F
373.15,6600.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.345,CCCCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
343.15,2031.0,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],0.713,CCCCCC[n+]1ccn(C)c1,O=[N+]([O-])[O-]
323.44,5160.0,CN(C)C1=C(N(C)C)C1N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.575,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.16,10905.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.65,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
353.49,2124.0,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.212,CCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
373.15,2670.0,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.1814,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
343.15,3100.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.267,CCCCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
313.15,5894.2,CC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,0.625,CC[n+]1ccn(C)c1,N#C[B-](C#N)(C#N)C#N
333.15,8000.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.54,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
308.15,4000.0,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.3214,CC[n+]1ccn(C)c1,F[B-](F)(F)F
298.15,4054.3,CC[N+](C)(C)CCOC(C)=O.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.581,CC[N+](C)(C)CCOC(C)=O,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,2540.0,CCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.51,CCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
333.15,1993.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2799,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
312.6,3260.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.537,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
343.15,5060.0,CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.501,CC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
358.48,1214.0,CCCC[N+](C)(CCCC)CCCC.COS(=O)(=O)[O-],0.066,CCCC[N+](C)(CCCC)CCCC,COS(=O)(=O)[O-]
312.95,8050.0,CCCCN1C=C[NH+](CCCC)C1.CS(=O)(=O)[O-],0.6814,CCCCN1C=C[NH+](CCCC)C1,CS(=O)(=O)[O-]
322.02,5820.0,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,0.401,CC[n+]1ccn(C)c1,CCOP(=O)([O-])OCC
303.15,400.0,C=C[n+]1ccn(CCCC)c1.NC(Cc1c[nH]cn1)C(=O)[O-],0.397,C=C[n+]1ccn(CCCC)c1,NC(Cc1c[nH]cn1)C(=O)[O-]
318.2,1000.0,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.15,CCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
371.43,10420.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5257,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,2340.0,CC(=O)[O-].CCCC[n+]1ccn(C)c1,0.404,CCCC[n+]1ccn(C)c1,CC(=O)[O-]
334.35,7850.0,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.578,CCCCCCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
353.15,366.2,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.114,CC[n+]1ccn(C)c1,F[B-](F)(F)F
303.15,1680.0,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3827,CCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
283.15,1300.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.242,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
313.15,18640.0,CCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,0.82,CCCCCC[n+]1ccn(C)c1,N#C[B-](C#N)(C#N)C#N
313.15,1520.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.231,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
298.2,2350.0,CCCCCCCC[NH+]1C=CN(C)C1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.315,CCCCCCCC[NH+]1C=CN(C)C1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,1037.4,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.208,CCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
314.05,2340.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.4849,CCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
353.15,61690.0,CC[n+]1ccn(C)c1.N#C[S-],0.459,CC[n+]1ccn(C)c1,N#C[S-]
303.85,2560.0,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5012,CCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.3,3949.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.323,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
322.9,878.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.1974,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
353.15,7600.0,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.453,CCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
298.15,50.1,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.009,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
313.35,16000.0,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],0.4974,CCCC[n+]1ccn(C)c1,CS(=O)(=O)[O-]
288.15,593.0,CCCC[n+]1ccn(C)c1.N#CC(C#N)C#N,0.1363,CCCC[n+]1ccn(C)c1,N#CC(C#N)C#N
348.4,1482.8,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.199,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
297.65,4550.0,CCCCN1C=C[NH+](CCCC)C1.CS(=O)(=O)[O-],0.5695,CCCCN1C=C[NH+](CCCC)C1,CS(=O)(=O)[O-]
303.15,9700.0,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7189,CCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,1242.7,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.231,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.3,5560.0,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],0.32,CC[n+]1ccn(C)c1,CS(=O)(=O)[O-]
308.15,1893.0,CCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,0.2814,CCCCCCn1cc[n+](C)c1,N#C[C-](C#N)C#N
313.15,505.0,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.053,CC[n+]1ccn(C)c1,F[B-](F)(F)F
301.55,49.9,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.010394,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
345.69,6875.0,CCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],0.2491,CCCCn1cc[n+](C)c1,O=[N+]([O-])[O-]
313.15,1780.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.338,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
343.15,6910.0,CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.58,CC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
303.15,3916.0,COCC[NH+]1C=CN(C)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.87,COCC[NH+]1C=CN(C)C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
283.15,200.0,C=C[n+]1ccn(CCCC)c1.NCC(=O)[O-],0.491,C=C[n+]1ccn(CCCC)c1,NCC(=O)[O-]
283.15,0.37,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,0.0021,CCCC[n+]1ccn(C)c1C,F[B-](F)(F)F
303.15,3980.0,CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.644,CC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
333.15,239.9,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.097,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
308.15,1793.0,CCCCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,0.2851,CCCCCCCCn1cc[n+](C)c1,N#C[C-](C#N)C#N
283.15,9.92,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.0016,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
293.15,1145.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.2589,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
313.15,2003.0,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.3,CCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
293.15,350.0,C=C[n+]1ccn(CCCC)c1.O=C([O-])C1CCCN1,0.262,C=C[n+]1ccn(CCCC)c1,O=C([O-])C1CCCN1
323.15,261.0,CCCC[n+]1ccccc1.F[B-](F)(F)F,0.029,CCCC[n+]1ccccc1,F[B-](F)(F)F
353.15,2380.0,CCCCCC[n+]1ccn(C)c1.N#C[S-],0.148,CCCCCC[n+]1ccn(C)c1,N#C[S-]
333.15,1860.0,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.261,CCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
352.75,22900.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,0.784,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,N#C[N-]C#N
413.15,1337.0,CCCC[n+]1ccn(C)c1.Cl[Fe-](Cl)(Cl)Cl,0.0801,CCCC[n+]1ccn(C)c1,Cl[Fe-](Cl)(Cl)Cl
303.15,311.5,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.06878,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.2,1500.0,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.337,CCCC[n+]1ccc(C)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,9.87,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0017,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.12,1290.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.274,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
333.18,513.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,0.111,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,N#C[N-]C#N
293.05,1970.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3607,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.2,1760.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.419,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
323.25,2700.0,C=CC[n+]1ccn(C)c1.N#C[N-]C#N,0.186,C=CC[n+]1ccn(C)c1,N#C[N-]C#N
332.7,5500.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.641,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,393.0,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.0681,CC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
