T,P,vis,SMILES,Cation,Anion
318.15,101.325,-0.996958635,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CS(=O)(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CS(=O)(=O)[O-]
333.15,101.325,-2.507152259,CCCCn1cc[n+](C)c1.[I-],CCCCn1cc[n+](C)c1,[I-]
343.15,10000.0,-3.902072675,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,CCOS(=O)(=O)[O-]
338.0,101.325,-4.342805922,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,20050.0,-2.352826309,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,CCCC[n+]1cccc(C)c1,F[B-](F)(F)F
298.15,50600.0,-0.604220971,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
318.15,101.325,-2.162823151,CCCCCCn1cc[n+](C)c1.[c-]1nn[nH]n1,CCCCCCn1cc[n+](C)c1,[c-]1nn[nH]n1
333.2,101.325,-2.949803342,CCCCCC[n+]1ccc2ccccc2c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[n+]1ccc2ccccc2c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
288.15,101.3,-1.890475442,C[n+]1ccn(CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCO)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.15,101.325,-2.718706781,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,CCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F
298.15,100.0,-0.443166975,CCCCn1cc[n+](C)c1.COP(=O)(O)OC,CCCCn1cc[n+](C)c1,COP(=O)(O)OC
328.15,101.325,-4.350527968,CCn1cc[n+](CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](CC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,101.0,0.006975614,Cn1cc[n+](CCC[N+](C)(C)C)c1.N#CN=C=[N-].N#CN=C=[N-],Cn1cc[n+](CCC[N+](C)(C)C)c1,N#CN=C=[N-]
323.15,101.325,-3.261261541,COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,COCC[N+]1(C)CCCC1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
333.15,80200.0,-3.020024966,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCC[P+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
363.15,101.325,-2.744195648,CCCC[N+](C)(CCCC)CCCC.NC(CO)C(=O)[O-],CCCC[N+](C)(CCCC)CCCC,NC(CO)C(=O)[O-]
353.15,101.325,-4.166270302,CC(N)C(=O)[O-].CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,CC(N)C(=O)[O-]
323.15,75800.0,-1.754463684,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
283.15,101.325,-1.321630848,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](CCCCCC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.1,101.325,-2.390324007,CCCCCC(=O)[O-].C[NH2+]CCO,C[NH2+]CCO,CCCCCC(=O)[O-]
313.15,101.325,-2.798522104,CCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,83.0,-0.903868212,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
573.0,101.325,-5.956097403,C[N+](C)(C)CCCC(=O)O.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+](C)(C)CCCC(=O)O,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,30300.0,-1.9618363,CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
313.15,101.3,-3.676950883,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
293.157,101.325,-1.609437912,COCC[n+]1ccccc1.N#C[S-],COCC[n+]1ccccc1,N#C[S-]
298.15,101.325,-2.579656986,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[n+]1ccccc1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
318.15,101.325,-2.282782466,CCCCCCn1cc[n+](C)c1.O=[N+]([O-])c1cn[n-]c1,CCCCCCn1cc[n+](C)c1,O=[N+]([O-])c1cn[n-]c1
358.15,101.325,-4.649818973,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[n+]1cccc(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
353.15,101.325,-4.371680343,Cc1ccc[n+](CC(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cc1ccc[n+](CC(C)C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
343.15,101.325,-4.160484365,COCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
273.1,101.325,-2.434974281,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
353.15,100.0,-5.177871213,CCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,CCCCn1cc[n+](C)c1,N#C[B-](C#N)(C#N)C#N
283.15,101.325,0.947789399,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.Clc1nc[n-]c1Cl,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,Clc1nc[n-]c1Cl
298.0,101.325,-0.820980552,CC(=O)[O-].CCCCn1cc[n+](C)c1,CCCCn1cc[n+](C)c1,CC(=O)[O-]
278.15,100.0,0.559615788,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#CNC#N,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,N#CNC#N
298.15,101.325,1.627670681,C[N+](C)(C)CCO.NCCC(=O)[O-],C[N+](C)(C)CCO,NCCC(=O)[O-]
323.15,101.0,-3.392113763,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,CCCCn1cc[n+](C)c1,F[B-](F)(F)F
350.29,101.325,-3.442019376,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
333.15,9840.0,-3.442019376,CCCC[n+]1ccccc1.F[B-](F)(F)F,CCCC[n+]1ccccc1,F[B-](F)(F)F
323.15,25800.0,-1.814925747,CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
358.0,101.0,-5.236281976,CC[NH+]1C=CN(C)C1.O=S(=O)(F)[N-]S(=O)(=O)F,CC[NH+]1C=CN(C)C1,O=S(=O)(F)[N-]S(=O)(=O)F
303.15,101.325,-0.669430654,C[NH+](CCO)CCO.[Cl-],C[NH+](CCO)CCO,[Cl-]
303.15,101.325,-2.286711744,CCn1cc[n+](C)c1.O=C(CF)OOB([O-])OOC(=O)CF,CCn1cc[n+](C)c1,O=C(CF)OOB([O-])OOC(=O)CF
298.0,101.325,-0.632993258,CCCCOC(=O)C1=CC=CN(CCCC)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
348.15,101.325,-2.521363187,CCCCCCCCC=CCCCCCCCC(=O)[O-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,CCCCCCCCC=CCCCCCCCC(=O)[O-]
348.15,150800.0,-2.952672784,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCC[P+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.15,101.325,-2.689719244,CCCC[n+]1ccn(C2CCCC2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[n+]1ccn(C2CCCC2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.0,101.325,-2.040220829,CCCCn1cc[n+](C)c1.[I-],CCCCn1cc[n+](C)c1,[I-]
323.15,83000.0,-2.864704011,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,100.0,-2.059638914,COP(=O)(O)OC.C[N+]1(CCOC(=O)C(O)(c2ccccc2)c2ccccc2)CCCC1,C[N+]1(CCOC(=O)C(O)(c2ccccc2)c2ccccc2)CCCC1,C[N+]1(CCOC(=O)C(O)(c2ccccc2)c2ccccc2)CCCC1
348.15,101.325,-4.244005337,Cc1ccc[n+](CC(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cc1ccc[n+](CC(C)C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
308.15,101.325,-2.676551534,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](CCCCCC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,101.0,0.014888612,CC(C)C(N)C(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCN,CCCC[P+](CCCC)(CCCC)CCCN,CC(C)C(N)C(=O)[O-]
298.15,101.325,-2.646484845,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
393.1,101.325,-4.710530702,CC(=O)[O-].CCCCn1cc[n+](C)c1,CCCCn1cc[n+](C)c1,CC(=O)[O-]
363.15,101.325,-4.193060535,CC(=O)[O-].CCCCn1cc[n+](C)c1,CCCCn1cc[n+](C)c1,CC(=O)[O-]
308.15,101.325,-3.676950883,CCCC[n+]1cccc(C)c1.N#CNC#N,CCCC[n+]1cccc(C)c1,N#CNC#N
293.15,101.325,-1.920729851,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](CCCCCC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
373.15,100.0,-5.339139361,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
293.0,101.325,-3.296837366,CC[n+]1cc(C)n(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[n+]1cc(C)n(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
